,trial,best_scores
204,204,552797346.192000
205,205,552797346.192000
206,206,552797346.192000
207,207,552797346.192000
208,208,552797346.192000
209,209,552797346.192000
210,210,552797346.192000
211,211,552797346.192000
212,212,552797346.192000
213,213,552797346.192000
214,214,352351143.996277
215,215,352351143.996277
216,216,352351143.996277
217,217,352351143.996277
218,218,352351143.996277
219,219,352351143.996277
220,220,352351143.996277
221,221,352351143.996277
222,222,352351143.996277
223,223,352351143.996277
224,224,352351143.996277
225,225,352351143.996277
226,226,352351143.996277
227,227,352351143.996277
228,228,352351143.996277
229,229,352351143.996277
230,230,352351143.996277
231,231,352351143.996277
232,232,352351143.996277
233,233,352351143.996277
234,234,352351143.996277
235,235,352351143.996277
236,236,352351143.996277
237,237,352351143.996277
238,238,352351143.996277
239,239,352351143.996277
240,240,352351143.996277
241,241,352351143.996277
242,242,352351143.996277
243,243,352351143.996277
244,244,352351143.996277
245,245,352351143.996277
246,246,352351143.996277
247,247,352351143.996277
248,248,352351143.996277
249,249,352351143.996277
250,250,352351143.996277
251,251,352351143.996277
252,252,352351143.996277
253,253,352351143.996277
254,254,352351143.996277
255,255,352351143.996277
256,256,352351143.996277
257,257,352351143.996277
258,258,352351143.996277
259,259,352351143.996277
260,260,352351143.996277
261,261,352351143.996277
262,262,352351143.996277
263,263,352351143.996277
264,264,352351143.996277
265,265,352351143.996277
266,266,352351143.996277
267,267,352351143.996277
268,268,352351143.996277
269,269,352351143.996277
270,270,352351143.996277
271,271,352351143.996277
272,272,352351143.996277
273,273,352351143.996277
274,274,352351143.996277
275,275,352351143.996277
276,276,352351143.996277
277,277,352351143.996277
278,278,352351143.996277
279,279,352351143.996277
280,280,352351143.996277
281,281,352351143.996277
282,282,352351143.996277
283,283,352351143.996277
284,284,352351143.996277
285,285,352351143.996277
286,286,352351143.996277
287,287,352351143.996277
288,288,352351143.996277
289,289,352351143.996277
290,290,352351143.996277
291,291,352351143.996277
292,292,352351143.996277
293,293,352351143.996277
294,294,352351143.996277
295,295,352351143.996277
296,296,352351143.996277
297,297,352351143.996277
298,298,352351143.996277
