,trial,best_scores
494,494,444182905.037588
495,495,444182905.037588
496,496,444182905.037588
497,497,444182905.037588
498,498,444182905.037588
499,499,444182905.037588
500,500,444182905.037588
501,501,444182905.037588
502,502,444182905.037588
503,503,444182905.037588
504,504,444182905.037588
505,505,444182905.037588
506,506,444182905.037588
507,507,444182905.037588
508,508,444182905.037588
509,509,444182905.037588
510,510,444182905.037588
511,511,444182905.037588
512,512,444182905.037588
513,513,444182905.037588
514,514,444182905.037588
515,515,444182905.037588
516,516,444182905.037588
517,517,444182905.037588
518,518,444182905.037588
519,519,444182905.037588
520,520,444182905.037588
521,521,444182905.037588
522,522,444182905.037588
523,523,444182905.037588
524,524,444182905.037588
525,525,444182905.037588
526,526,444182905.037588
527,527,444182905.037588
528,528,444182905.037588
529,529,444182905.037588
530,530,444182905.037588
531,531,444182905.037588
532,532,444182905.037588
533,533,444182905.037588
534,534,444182905.037588
535,535,444182905.037588
536,536,444182905.037588
537,537,444182905.037588
538,538,444182905.037588
539,539,444182905.037588
540,540,444182905.037588
541,541,444182905.037588
542,542,444182905.037588
543,543,444182905.037588
544,544,444182905.037588
545,545,444182905.037588
546,546,444182905.037588
547,547,444182905.037588
548,548,444182905.037588
549,549,444182905.037588
550,550,444182905.037588
551,551,444182905.037588
552,552,444182905.037588
553,553,444182905.037588
554,554,444182905.037588
555,555,444182905.037588
556,556,444182905.037588
557,557,444182905.037588
558,558,444182905.037588
559,559,444182905.037588
560,560,444182905.037588
561,561,444182905.037588
562,562,444182905.037588
563,563,444182905.037588
564,564,444182905.037588
565,565,444182905.037588
566,566,444182905.037588
567,567,444182905.037588
568,568,444182905.037588
569,569,444182905.037588
570,570,444182905.037588
571,571,444182905.037588
572,572,444182905.037588
573,573,444182905.037588
574,574,444182905.037588
575,575,444182905.037588
576,576,444182905.037588
577,577,444182905.037588
578,578,444182905.037588
579,579,444182905.037588
580,580,444182905.037588
581,581,444182905.037588
582,582,444182905.037588
583,583,444182905.037588
584,584,444182905.037588
585,585,444182905.037588
586,586,444182905.037588
587,587,444182905.037588
588,588,444182905.037588
589,589,444182905.037588
590,590,444182905.037588
591,591,444182905.037588
592,592,444182905.037588
593,593,444182905.037588
594,594,444182905.037588
595,595,444182905.037588
596,596,444182905.037588
597,597,444182905.037588
598,598,444182905.037588
599,599,444182905.037588
600,600,444182905.037588
601,601,444182905.037588
602,602,444182905.037588
603,603,444182905.037588
604,604,444182905.037588
605,605,444182905.037588
606,606,444182905.037588
607,607,444182905.037588
608,608,444182905.037588
609,609,444182905.037588
610,610,444182905.037588
611,611,444182905.037588
612,612,444182905.037588
613,613,444182905.037588
614,614,444182905.037588
615,615,444182905.037588
616,616,444182905.037588
617,617,444182905.037588
618,618,444182905.037588
619,619,444182905.037588
620,620,444182905.037588
621,621,444182905.037588
622,622,444182905.037588
623,623,444182905.037588
624,624,444182905.037588
625,625,444182905.037588
626,626,444182905.037588
627,627,444182905.037588
628,628,444182905.037588
629,629,444182905.037588
630,630,444182905.037588
631,631,444182905.037588
632,632,444182905.037588
633,633,444182905.037588
634,634,444182905.037588
635,635,444182905.037588
636,636,444182905.037588
637,637,444182905.037588
638,638,444182905.037588
639,639,444182905.037588
640,640,444182905.037588
641,641,444182905.037588
642,642,444182905.037588
643,643,444182905.037588
644,644,444182905.037588
645,645,444182905.037588
646,646,444182905.037588
647,647,444182905.037588
648,648,444182905.037588
649,649,444182905.037588
650,650,444182905.037588
651,651,444182905.037588
652,652,444182905.037588
653,653,444182905.037588
654,654,444182905.037588
655,655,444182905.037588
656,656,444182905.037588
657,657,444182905.037588
658,658,444182905.037588
659,659,444182905.037588
660,660,444182905.037588
661,661,444182905.037588
662,662,444182905.037588
663,663,444182905.037588
664,664,444182905.037588
665,665,444182905.037588
666,666,444182905.037588
667,667,444182905.037588
668,668,444182905.037588
669,669,444182905.037588
670,670,444182905.037588
671,671,444182905.037588
672,672,444182905.037588
673,673,444182905.037588
674,674,444182905.037588
675,675,444182905.037588
676,676,444182905.037588
677,677,444182905.037588
678,678,444182905.037588
679,679,444182905.037588
680,680,444182905.037588
681,681,444182905.037588
682,682,444182905.037588
683,683,444182905.037588
684,684,444182905.037588
685,685,444182905.037588
686,686,444182905.037588
687,687,444182905.037588
688,688,444182905.037588
689,689,444182905.037588
690,690,444182905.037588
691,691,444182905.037588
692,692,444182905.037588
693,693,444182905.037588
694,694,444182905.037588
695,695,444182905.037588
696,696,444182905.037588
697,697,444182905.037588
698,698,444182905.037588
699,699,444182905.037588
700,700,444182905.037588
701,701,444182905.037588
702,702,444182905.037588
703,703,444182905.037588
704,704,444182905.037588
705,705,444182905.037588
706,706,444182905.037588
707,707,444182905.037588
708,708,444182905.037588
709,709,444182905.037588
710,710,444182905.037588
711,711,444182905.037588
712,712,444182905.037588
713,713,444182905.037588
714,714,444182905.037588
715,715,444182905.037588
716,716,444182905.037588
717,717,444182905.037588
718,718,444182905.037588
719,719,444182905.037588
720,720,444182905.037588
721,721,444182905.037588
722,722,444182905.037588
723,723,444182905.037588
724,724,444182905.037588
725,725,444182905.037588
726,726,444182905.037588
727,727,444182905.037588
728,728,444182905.037588
729,729,444182905.037588
730,730,444182905.037588
731,731,444182905.037588
732,732,444182905.037588
733,733,444182905.037588
734,734,444182905.037588
735,735,444182905.037588
736,736,444182905.037588
737,737,444182905.037588
738,738,444182905.037588
739,739,444182905.037588
740,740,444182905.037588
741,741,444182905.037588
742,742,444182905.037588
743,743,444182905.037588
744,744,444182905.037588
745,745,444182905.037588
746,746,444182905.037588
747,747,444182905.037588
748,748,444182905.037588
749,749,444182905.037588
750,750,444182905.037588
751,751,444182905.037588
752,752,444182905.037588
753,753,444182905.037588
754,754,444182905.037588
755,755,444182905.037588
756,756,444182905.037588
757,757,444182905.037588
758,758,444182905.037588
759,759,444182905.037588
760,760,444182905.037588
761,761,444182905.037588
762,762,444182905.037588
763,763,444182905.037588
764,764,444182905.037588
765,765,444182905.037588
766,766,444182905.037588
767,767,444182905.037588
768,768,444182905.037588
769,769,444182905.037588
770,770,444182905.037588
771,771,444182905.037588
772,772,444182905.037588
773,773,444182905.037588
774,774,444182905.037588
775,775,444182905.037588
776,776,444182905.037588
777,777,444182905.037588
778,778,444182905.037588
779,779,444182905.037588
780,780,444182905.037588
781,781,444182905.037588
